date,stars,forks,views_14d,unique_visitors_14d,clones_14d,unique_cloners_14d,npm_downloads_yesterday
2026-09-05,0,1,,,,,
2026-09-06,0,1,,,,,0
2026-09-07,0,1,,,,,81
2026-09-08,0,1,,,,,81
2026-09-09,0,1,,,,,81
2026-09-10,0,1,,,,,81
2026-09-11,0,1,,,,,8
2026-09-12,0,1,,,,,20
2026-09-13,0,1,,,,,3
2026-09-14,0,1,,,,,3
2026-09-15,0,1,,,,,3
2026-09-16,0,1,,,,,3
2026-09-17,0,2,,,,,3
2026-09-18,0,2,,,,,8
2026-09-19,0,2,,,,,8
2026-09-20,0,2,,,,,6
2026-09-21,1,2,,,,,0
2026-09-22,1,2,,,,,0
2026-09-23,1,2,,,,,133
2026-09-24,1,2,,,,,133
2026-09-25,1,2,,,,,133
2026-09-26,1,2,,,,,2
